"","acidity","citric_acid","residual_sugar","chlorides","free_sulfur_dioxide","total_sulfur_dioxide","density","ph","sulphates","alcohol","quality","tipo"
"31",7.58,0.43,1.7,0.08,21,123,0.9905,3.19,0.42,12.8,5,"blanco"
"32",6.89,0.23,5.4,0.051,25,149,0.9934,3.24,0.35,10,5,"blanco"
"33",7.33,0.32,1.2,0.053,38,138,0.9906,3.13,0.28,11.2,6,"blanco"
"34",7.54,0.39,17.95,0.057,45,149,0.9999,3.21,0.36,8.6,5,"blanco"
"35",6.93,0.39,2.5,0.172,63,158,0.9937,3.11,0.36,9.4,6,"blanco"
"36",6.94,0.39,2.9,0.173,63,157,0.9937,3.1,0.34,9.4,6,"blanco"
"37",7.31,0.26,7.4,0.069,28,160,0.9954,3.13,0.46,9.8,6,"blanco"
"38",6.84,0.27,1.4,0.057,33,152,0.9934,3.22,0.56,9.5,6,"blanco"
"39",6.93,0.26,1.4,0.06,33,154,0.9934,3.24,0.56,9.5,6,"blanco"
"40",7.58,0.31,1.4,0.058,38,167,0.9931,3.16,0.53,10,7,"blanco"
"41",6.65,0.26,4.4,0.063,63,206,0.994,3.27,0.52,9.8,4,"blanco"
"42",6.66,0.25,4.4,0.066,62,207,0.9939,3.25,0.52,9.8,5,"blanco"
"43",7.09,0.35,5,0.067,32,150,0.995,3.36,0.48,9.8,5,"blanco"
"44",7.39,0.31,1.6,0.062,31,173,0.9917,3.35,0.44,11.7,6,"blanco"
"45",6.85,0.29,1.1,0.068,39,124,0.9914,3.34,0.58,11,7,"blanco"
"46",6.36,0.33,1.1,0.057,21,82,0.991,3.32,0.46,10.9,7,"blanco"
"47",6.58,0.35,1,0.045,39,108,0.9911,3.31,0.35,10.9,6,"blanco"
"48",7,0.59,0.9,0.147,38,132,0.993,3.05,0.38,9.1,6,"blanco"
"49",7.15,0.35,1.3,0.039,29,191,0.9908,3.13,0.52,11,6,"blanco"
"50",7.41,0.34,11.9,0.043,37,213,0.9962,3.09,0.5,9.6,6,"blanco"
"51",6.19,0.26,12.4,0.048,50,147,0.9972,3.3,0.36,8.9,6,"blanco"
"52",6.98,0.15,4.6,0.044,25,78,0.9931,3.11,0.38,10.2,6,"blanco"
"53",7.6,0.36,1.2,0.038,44,111,0.9926,3.36,0.34,9.9,6,"blanco"
"54",7.02,0.24,4.9,0.092,30,123,0.9951,3.03,0.46,8.6,6,"blanco"
"55",7.47,0.07,1.1,0.035,17,151,0.991,3.02,0.34,10.5,5,"blanco"
"56",7.44,0.27,1.4,0.038,31,122,0.9927,3.15,0.46,10.3,6,"blanco"
"57",6.55,0.03,1.2,0.064,29,120,0.9934,3.22,0.54,9.1,5,"blanco"
"58",6.66,0.24,6.4,0.04,27,124,0.9903,3.22,0.49,12.6,7,"blanco"
"59",6.95,0.13,1.2,0.041,81,174,0.992,3.14,0.42,9.8,5,"blanco"
"60",6.93,0.31,2.1,0.046,30,96,0.9926,3.33,0.64,10.7,8,"blanco"
"61",7.64,0.29,10.1,0.05,21,105,0.9962,3.13,0.35,9.5,5,"blanco"
"62",6.47,0.43,7.8,0.056,48,244,0.9956,3.1,0.51,9,6,"blanco"
"63",7.1,0.23,4.6,0.061,50.5,238.5,0.9958,3.32,0.6,9.5,5,"blanco"
"64",6.27,0.28,4.8,0.063,31,201,0.9964,3.69,0.71,10,5,"blanco"
"65",8.83,0.46,1,0.054,9,72,0.9941,2.95,0.49,9.1,6,"blanco"
"66",7.28,0.36,1.4,0.043,31,87,0.9898,3.26,0.37,12.7,7,"blanco"
"67",7.32,0.34,1.3,0.042,20,69,0.9912,3.31,0.65,12,7,"blanco"
"68",7.58,0.3,8.8,0.064,26,103,0.9961,2.94,0.56,9.3,5,"blanco"
"69",7.24,0.28,5.4,0.06,21,105,0.9949,3.27,0.37,9,5,"blanco"
"70",7.02,0.31,1.4,0.053,34,114,0.9929,3.39,0.77,10.6,6,"blanco"
"71",7.3,0.34,16,0.05,51,166,0.9985,3.21,0.6,9.2,6,"blanco"
"72",7.44,0.2,6.1,0.063,47,164,0.9946,3.17,0.42,10,5,"blanco"
"73",7.52,0.3,8.2,0.047,42,207,0.9966,3.33,0.46,9.5,6,"blanco"
"74",7.53,0.61,11.8,0.045,54,155,0.9974,3.11,0.45,8.7,5,"blanco"
"75",7.54,0.62,11.8,0.044,52,152,0.9975,3.12,0.46,8.7,6,"blanco"
"76",7.59,0.63,11,0.044,55,156,0.9974,3.09,0.44,8.7,6,"blanco"
"77",7.05,0.31,13.3,0.05,69,202,0.9972,3.22,0.48,9.7,6,"blanco"
"78",6.37,0.43,7.5,0.049,65,243,0.9957,3.12,0.47,9,5,"blanco"
"79",7.14,0.33,1.7,0.035,47,136,0.99,3.26,0.4,12.6,7,"blanco"
"80",7.11,0.33,1.8,0.034,48,136,0.9899,3.25,0.41,12.6,7,"blanco"
"81",7.67,0.32,1.7,0.04,51,148,0.9916,3.21,0.44,11.5,7,"blanco"
"82",7.36,0.29,12.4,0.044,62,240,0.9969,3.04,0.42,9.2,6,"blanco"
"83",6.34,0.66,15.9,0.046,26,164,0.9979,3.14,0.5,8.8,6,"blanco"
"84",8.865,0.36,1.2,0.034,15,80,0.9913,2.95,0.36,11.4,7,"blanco"
"85",10.16,0.46,10.5,0.038,4,83,0.9956,2.89,0.3,10.1,4,"blanco"
"86",7.65,0.37,13.5,0.06,52,192,0.9975,3,0.44,9.1,5,"blanco"
"87",7.22,0.32,9.6,0.054,64,162,0.9962,3.4,0.41,9.4,5,"blanco"
"88",6.21,0.24,12.1,0.05,55,164,0.997,3.34,0.39,9.4,5,"blanco"
"89",7.805,0.4,18.9,0.059,44,170,1,2.99,0.46,9,5,"blanco"
"90",7.43,0.32,14.4,0.051,34,109,0.9974,3.2,0.35,9.2,6,"blanco"
"91",7.33,0.35,16.5,0.04,60,171,0.999,3.16,0.59,9.1,6,"blanco"
"92",7.23,0.28,1.3,0.051,37,187,0.9927,3.27,0.6,10.3,5,"blanco"
"93",6.67,0.54,8.5,0.082,64,163,0.9959,2.89,0.39,8.8,6,"blanco"
"94",7.47,0.46,18.75,0.052,45,255,1,3.04,0.52,8.9,5,"blanco"
"95",7.51,0.5,13.3,0.056,68,195,0.9982,3.01,0.47,9.2,5,"blanco"
"96",7.11,0.34,9.2,0.049,29,150,0.9968,3.22,0.51,9.1,5,"blanco"
"97",5.985,0,1.5,0.065,8,103,0.994,3.63,0.4,9.7,4,"blanco"
"98",6.31,0.24,3.3,0.041,25,143,0.9914,3.31,0.44,11.3,6,"blanco"
"99",7.14,0.4,1.7,0.035,16,85,0.9911,3.19,0.42,11.8,6,"blanco"
"100",7.62,0.48,13.3,0.06,57,196,0.9982,3.04,0.5,9.2,5,"blanco"
"101",6.26,0.04,5.7,0.046,21,87,0.9934,3.22,0.51,10.2,5,"blanco"
"102",8.04,0.32,12.2,0.054,42,138,0.9984,3.01,0.54,8.8,5,"blanco"
"103",7.56,0.31,6.85,0.059,31,131,0.9952,3.29,0.34,9.7,5,"blanco"
"104",7.09,0.28,5,0.058,14,146,0.9952,3.29,0.36,9.1,6,"blanco"
"105",6.53,0.47,1.6,0.092,40,158,0.9928,3.21,0.36,9.8,6,"blanco"
"106",6.89,0.36,1.1,0.026,63,143,0.9912,3.27,0.48,11,6,"blanco"
"107",7.79,0.23,7,0.033,29,126,0.994,3.14,0.42,10.5,5,"blanco"
"108",6.74,0.32,7.6,0.038,48,203,0.9958,3.45,0.54,9.7,7,"blanco"
"109",6.4,0.56,2.8,0.044,47,179,0.9924,3.3,0.57,10.9,7,"blanco"
"110",6.4,0.56,2.7,0.046,46,184,0.9924,3.31,0.57,10.9,6,"blanco"
"111",5.96,0.25,10.4,0.02,7,57,0.994,3.39,0.37,10.6,5,"blanco"
"112",6.925,0.4,13.1,0.038,59,241,0.9979,3.23,0.57,9,5,"blanco"
"113",6.84,0.27,15.8,0.035,46,188,0.9982,3.24,0.51,9.2,5,"blanco"
"114",7.07,0.22,8.1,0.034,55,203,0.9961,3.19,0.52,8.9,5,"blanco"
"115",6.97,0.31,15.7,0.036,44,179,0.9979,3.26,0.56,9.6,5,"blanco"
"116",8.43,0.4,1.2,0.027,36,121,0.992,3.12,0.38,10.7,6,"blanco"
"117",7.47,0.67,10.5,0.045,49,155,0.9975,3.16,0.44,8.7,5,"blanco"
"118",6.99,0.36,1.9,0.035,30,96,0.9917,3.15,0.54,10.8,7,"blanco"
"119",8.38,0.39,1.9,0.029,18,79,0.9923,3.23,0.52,11.8,6,"blanco"
"120",6.61,0.34,2.2,0.045,20,77,0.9927,3.3,0.43,10.2,5,"blanco"
"121",8.11,0.4,1.2,0.039,38,107,0.992,3.21,0.54,10.8,6,"blanco"
"122",8.71,0.41,4.3,0.036,24,99,0.9947,3.18,0.53,9.7,6,"blanco"
"123",8.3,0.4,2,0.037,19,87,0.9921,3.12,0.54,11.2,6,"blanco"
"124",6.555,0.37,1.1,0.04,37,114,0.9905,3,0.39,10.9,6,"blanco"
"125",5.76,0.27,1.4,0.044,53,168,0.9918,3.28,0.37,10.1,6,"blanco"
"126",6.995,0.14,5.2,0.058,15,97,0.9951,3.38,0.36,9,4,"blanco"
"127",6.64,0.33,4.6,0.034,19,80,0.9917,3.38,0.58,12,7,"blanco"
"128",7.15,0.3,4.1,0.054,23,116,0.994,2.99,0.38,9.4,6,"blanco"
"129",8.12,0.38,8,0.043,46,152,0.9934,3.12,0.32,11.5,7,"blanco"
"130",7.78,0.46,10.2,0.055,58,135,0.9968,3.14,0.43,9.9,6,"blanco"
"131",7.38,0.41,1.2,0.048,41,97,0.9919,3.14,0.45,10.4,5,"blanco"
"132",8.43,0.4,7.5,0.049,12,76,0.9966,3.06,0.84,9.7,6,"blanco"
"133",7.64,0.42,14,0.066,48,198,0.9979,2.89,0.42,8.9,6,"blanco"
"134",6.42,0.24,1.5,0.036,38,124,0.9898,3.29,0.42,12.4,7,"blanco"
"135",5.64,0.04,1.4,0.036,43,119,0.9894,3.36,0.33,12.1,8,"blanco"
"136",6.62,0.56,14.5,0.055,27,159,0.998,2.98,0.4,9.1,5,"blanco"
"137",6.66,0.3,4.8,0.049,14,85,0.9932,3.28,0.39,10.6,5,"blanco"
"138",6.94,0.35,13.1,0.05,64,205,0.997,3.15,0.5,9.5,5,"blanco"
"139",7.23,0.36,13,0.051,72,177,0.9972,3.16,0.49,9.8,5,"blanco"
"140",8.67,0.46,8.7,0.048,39,197,0.9974,3.14,0.59,9.6,6,"blanco"
"141",7.16,0.18,2.4,0.034,25,98,0.9896,3.08,0.44,12.6,7,"blanco"
"142",7.79,0.31,8.95,0.055,20,151,0.9968,3.08,0.54,9.3,5,"blanco"
"143",10.22,0.48,9.85,0.034,5,110,0.9958,2.87,0.29,10,5,"blanco"
"144",7.4,0.46,1.5,0.066,29,133,0.9906,3.12,0.54,12.7,6,"blanco"
"145",8.09,0.45,1.5,0.045,17,96,0.9917,3.13,0.39,11,6,"blanco"
"146",8.08,0.37,0.8,0.037,4,100,0.9902,3.03,0.39,11.4,4,"blanco"
"147",6.52,0.43,4.55,0.038,31,130,0.9918,3.35,0.33,11.5,7,"blanco"
"148",7.77,0.31,17.7,0.051,33,173,0.999,3.09,0.64,10.2,5,"blanco"
"149",7.13,0.4,7.5,0.04,50,151,0.9927,3.11,0.27,11.4,6,"blanco"
"150",7.52,0.47,5.1,0.044,19,65,0.991,3.03,0.41,12.6,4,"blanco"
"151",6.13,0.3,12.9,0.054,57,170,0.9972,3.28,0.39,9.4,5,"blanco"
"152",6.67,0.07,1.2,0.06,9,108,0.9931,3.11,0.35,8.7,4,"blanco"
"153",6.65,0.32,5.5,0.049,41,176,0.995,3.19,0.68,9.2,6,"blanco"
"154",6.73,0.31,5.5,0.048,42,173,0.9951,3.19,0.66,9.3,6,"blanco"
"155",7.44,0.15,1.2,0.053,61,183,0.9936,3.09,0.43,9.2,5,"blanco"
"156",7.08,0.4,22,0.048,48,167,1.001,2.93,0.5,8.7,5,"blanco"
"157",7.17,0.4,14,0.05,64,227,0.9979,3.18,0.58,9.6,6,"blanco"
"158",7.06,0.56,11.9,0.043,64,226,0.997,3.02,0.63,9.3,5,"blanco"
"159",7.09,0.56,11.9,0.043,66,230,0.9972,3.02,0.63,9.3,5,"blanco"
"160",6.94,0.41,9.4,0.04,49,166,0.9954,3.12,0.61,9.9,6,"blanco"
"161",6.2,0.23,4.2,0.038,42,119,0.9924,3.15,0.5,11,5,"blanco"
"162",7.33,0.35,3.8,0.034,26,109,0.9906,3.26,0.57,12.7,8,"blanco"
"163",6.78,0.28,8.5,0.047,54,210,0.9962,3.09,0.54,8.9,4,"blanco"
"164",6.88,0.28,8.5,0.052,55,211,0.9962,3.09,0.55,8.9,6,"blanco"
"165",7.08,0.36,8,0.045,28,123,0.9928,3.02,0.37,11.4,6,"blanco"
"166",6.75,0.34,5.1,0.055,34,125,0.9942,3.36,0.42,9.6,5,"blanco"
"167",6.69,0.44,3.6,0.2,75,181,0.9942,3.02,0.41,9.1,5,"blanco"
"168",6.7,0.45,3.5,0.197,76,180,0.9942,3.02,0.39,9.1,6,"blanco"
"169",6.69,0.44,3.6,0.197,75,183,0.9942,3.01,0.38,9.1,5,"blanco"
"170",7.06,0.24,7.8,0.052,54,214,0.9961,3.13,0.47,8.9,5,"blanco"
"171",7.42,0.24,13.1,0.05,52,204,0.998,3.1,0.49,8.8,5,"blanco"
"172",7.07,0.26,16.1,0.049,55,196,0.9984,3.15,0.5,9.3,5,"blanco"
"173",7.44,0.32,13.2,0.05,53,236,0.9973,3.2,0.5,9.6,5,"blanco"
"174",7.06,0.34,13.9,0.034,39,134,0.9949,3.33,0.53,12,6,"blanco"
"175",6.08,0.35,2.3,0.053,36,114,0.9924,3.28,0.5,10.2,4,"blanco"
"176",6.61,0.5,11.6,0.042,45,153,0.9972,3.15,0.43,8.8,5,"blanco"
"177",7.16,0.32,8.3,0.045,38,126,0.9958,3.21,0.34,9.2,5,"blanco"
"178",10.64,0.88,6.2,0.049,20,124,0.9968,2.99,0.51,9.9,4,"blanco"
"179",7.37,0.29,2.2,0.04,15,77,0.9938,3.32,0.74,10.2,5,"blanco"
"180",6.5,0.31,0.9,0.048,23,170,0.993,3.22,0.77,9.5,6,"blanco"
"181",5.845,0.25,9.7,0.032,12,68,0.994,3.31,0.34,10.5,5,"blanco"
"182",6.98,0.38,1.4,0.038,35,111,0.9918,3.32,0.59,11.2,7,"blanco"
"183",6.83,0.29,5.3,0.051,31,122,0.9944,3.44,0.37,9.7,6,"blanco"
"184",6.45,0.25,1.4,0.03,35,105,0.9912,3.3,0.44,11.1,7,"blanco"
"185",6.06,0.24,9.2,0.044,55,152,0.9961,3.31,0.38,9.4,5,"blanco"
"186",7.77,0.36,7,0.036,45,164,0.9939,3.03,0.33,11,5,"blanco"
"187",5.98,0.24,17.5,0.044,60,167,0.9989,3.31,0.44,9.4,5,"blanco"
"188",7.73,0.36,7,0.036,43,161,0.9938,3.04,0.32,11,5,"blanco"
"189",7.885,0.21,9.5,0.07,33,172,0.9971,3,0.55,9.1,6,"blanco"
"190",6.69,0.3,0.8,0.043,33,144,0.9936,3.42,0.39,9.1,6,"blanco"
"191",6.795,0.22,1.8,0.046,31,140,0.9929,3.39,0.54,10.4,6,"blanco"
"192",7.34,0.41,17.8,0.046,39,145,0.9998,3.32,0.39,8.7,5,"blanco"
"193",6.57,0.32,2.4,0.048,41,200,0.9938,3.5,0.5,9.7,6,"blanco"
"194",7.35,0.32,10.3,0.041,66,272,0.9969,3.17,0.52,9.1,6,"blanco"
"195",7.44,0.08,9.7,0.062,26,142,0.9972,3.37,0.46,8.9,4,"blanco"
"196",8.58,0.4,7.8,0.041,38,194,0.9976,3.34,0.51,9.6,6,"blanco"
"197",8.47,0.39,7.8,0.039,49,208,0.9976,3.31,0.51,9.5,6,"blanco"
"198",7.43,0.38,14.3,0.058,55,194,0.9979,3.09,0.44,9,6,"blanco"
"199",7.32,0.32,13.2,0.044,54,221,0.9972,3.27,0.5,9.6,6,"blanco"
"200",7.26,0.59,1.4,0.037,40,120,0.9918,3.34,0.41,11.1,7,"blanco"
"201",6.45,0.21,15.55,0.039,28,159,0.9982,3.48,0.64,9.6,6,"blanco"
"202",7.62,0.23,13.7,0.05,49,197,0.9985,3.2,0.46,8.7,5,"blanco"
"203",8.01,0.26,7.8,0.031,23,90,0.9944,3.13,0.5,10.4,5,"blanco"
"204",7.31,0.37,2.4,0.026,23,100,0.9903,3.15,0.38,11.4,7,"blanco"
"205",7.04,0.34,2.7,0.047,64.5,218.5,0.9934,3.3,0.58,9.7,6,"blanco"
"206",7.3,0.56,11.2,0.043,40,142,0.9975,3.14,0.46,8.7,5,"blanco"
"207",6.28,0.36,2,0.038,20,249.5,0.9923,3.37,0.79,11.3,6,"blanco"
"208",7.01,0.27,2.1,0.03,26,139,0.99,3.16,0.61,12.6,7,"blanco"
"209",6,0.27,1.4,0.031,12,77,0.9905,3.25,0.36,10.9,7,"blanco"
"210",5.79,0.26,1.4,0.03,12,76,0.9905,3.25,0.37,10.9,7,"blanco"
"211",6.51,0.14,10.4,0.037,18,119,0.996,3.38,0.45,10,5,"blanco"
"212",6.11,0.28,4.6,0.053,40,199,0.9964,3.72,0.7,10,4,"blanco"
"213",8.76,0.21,16.2,0.074,41,197,0.998,3.02,0.5,9.8,3,"blanco"
"214",6.04,0.44,3.5,0.029,5,109,0.9913,3.53,0.43,11.7,3,"blanco"
"215",6.04,0.39,1.5,0.054,37,158,0.9932,3.21,0.52,9.3,6,"blanco"
"216",6.96,0.39,1.1,0.04,45,147,0.9935,3.32,0.58,9.6,8,"blanco"
"217",6.65,0.3,5.7,0.035,8,97,0.9927,3.27,0.41,11,7,"blanco"
"218",6.63,0.39,1.8,0.032,23,118,0.9912,3.32,0.5,11.8,6,"blanco"
"219",6.16,0.38,0.9,0.037,3,75,0.9904,3.28,0.34,11.4,4,"blanco"
"220",7.015,0.35,5.4,0.048,36,108,0.9939,3.32,0.42,10.2,6,"blanco"
"221",7.19,0.4,19.45,0.043,36,156,0.9996,2.93,0.47,8.9,5,"blanco"
"222",7.18,0.4,8.2,0.036,15,95,0.9944,3.17,0.33,10.2,5,"blanco"
"223",7.49,0.4,13.6,0.045,66,231,0.9977,3.08,0.59,9.6,6,"blanco"
"224",6.44,0.35,1.2,0.038,22,167,0.9912,3.1,0.48,10.6,6,"blanco"
"225",7.22,0.26,8.3,0.053,32,180,0.9965,3.25,0.51,9.2,6,"blanco"
"226",5.88,0.07,6.9,0.043,34,149,0.9944,3.34,0.57,9.7,5,"blanco"
"227",5.885,0.07,7.1,0.044,34,145,0.9945,3.34,0.57,9.7,6,"blanco"
"228",5.99,0.07,7,0.045,36,147,0.9944,3.34,0.57,9.7,6,"blanco"
"229",5.8,0.07,7,0.044,33,147,0.9944,3.33,0.58,9.7,5,"blanco"
"230",6.05,0.26,13.1,0.051,44,148,0.9972,3.29,0.38,9.3,5,"blanco"
"231",7.18,0.3,5.1,0.057,30,123,0.9949,3.24,0.38,9,5,"blanco"
"232",7.29,0.54,10.7,0.046,59,234,0.9966,3.05,0.61,9.5,5,"blanco"
"233",6.79,0.41,8.9,0.046,51,169,0.9954,3.14,0.57,9.8,6,"blanco"
"234",6.9,0.41,9.1,0.044,50,166,0.9954,3.14,0.58,9.8,6,"blanco"
"235",7.96,0.4,1.1,0.042,9,60,0.9915,2.89,0.5,10.6,5,"blanco"
"236",7.12,0.34,1.2,0.044,14,67,0.9919,3.05,0.47,10.6,4,"blanco"
"237",7.3,0.49,4.7,0.036,17,105,0.9916,3.26,0.68,12.4,7,"blanco"
"238",7.24,0.36,2.8,0.034,22,112,0.99,3.19,0.38,12.6,8,"blanco"
"239",6.41,0.58,5,0.039,36,114,0.9909,3.3,0.6,12.3,8,"blanco"
"240",7.24,0.37,5.1,0.047,46,201,0.9938,3.08,0.65,10.5,4,"blanco"
"241",7.04,0.3,15.6,0.054,51,196,0.9982,3.19,0.49,9.3,5,"blanco"
"242",7.45,0.24,15.4,0.055,46,198,0.9988,3.12,0.49,8.8,5,"blanco"
"243",7.62,0.25,7.2,0.056,47,180,0.9961,3.08,0.47,8.8,5,"blanco"
"244",6.78,0.33,15.7,0.053,51,190,0.9978,3.22,0.51,9.7,6,"blanco"
"245",7.43,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9,7,"blanco"
"246",6.05,0.31,5.8,0.041,53,155,0.9945,3.52,0.46,10.5,6,"blanco"
"247",7.68,0.42,19.8,0.066,53,195,1,2.96,0.44,9.1,5,"blanco"
"248",6.48,0.22,7.3,0.041,26,157,0.9957,3.44,0.64,9.8,7,"blanco"
"249",9.69,0.38,1.6,0.066,34,182,0.9968,3.23,0.38,8.5,3,"blanco"
"250",6.63,0.27,1.2,0.046,34,175,0.9934,3.37,0.54,9.4,6,"blanco"
"251",8.69,0.7,10.6,0.045,33,169,0.9976,3.09,0.57,9.4,5,"blanco"
"252",7.39,0.46,3.8,0.041,82,187,0.9932,3.19,0.6,11.2,7,"blanco"
"253",7.67,0.44,11.3,0.046,65,146,0.997,3.17,0.45,10,6,"blanco"
"254",6.87,0.5,2.1,0.043,27,122,0.9923,3.15,0.45,10.3,6,"blanco"
"255",6.51,0,1.6,0.063,36,87,0.9914,3.27,0.67,10.8,6,"blanco"
"256",8.5,0.35,0.9,0.05,12,74,0.992,3.13,0.38,10.5,6,"blanco"
"257",6.29,0.21,1.3,0.055,42,168,0.9914,3.32,0.43,11.1,6,"blanco"
"258",7.71,0.24,6.8,0.057,41,163,0.9949,3.2,0.41,9.9,6,"blanco"
"259",7.63,0.24,6.7,0.058,40,163,0.995,3.2,0.41,9.9,5,"blanco"
"260",7.7,0.24,6.7,0.058,41,166,0.995,3.2,0.41,9.9,6,"blanco"
"261",6.53,0.27,4.9,0.036,30,134,0.9927,3.2,0.42,10.4,7,"blanco"
"262",6.51,0.26,4.8,0.037,36,148,0.9928,3.21,0.41,10.4,6,"blanco"
"263",6.46,0.27,2.1,0.035,16,100,0.9917,3.4,0.71,11.5,7,"blanco"
"264",5.55,0.14,8.3,0.032,35,164,0.9918,3.53,0.51,12.5,8,"blanco"
"265",8.05,0.41,3.7,0.042,37,149,0.9954,3.36,0.45,10,6,"blanco"
"266",6.06,0.21,6.7,0.038,51,166,0.9941,3.29,0.63,10,6,"blanco"
"267",6.14,0.21,6.6,0.04,50,167,0.9941,3.29,0.62,10,5,"blanco"
"268",7.08,0.6,1.1,0.132,42,127,0.9934,3.09,0.44,9.1,6,"blanco"
"269",7.05,0.34,4.7,0.031,34,134,0.9927,3.21,0.38,10.6,6,"blanco"
"270",6.84,0.35,7.7,0.031,36,135,0.9938,3.19,0.37,10.5,5,"blanco"
"271",6.2,0.47,7.85,0.03,19,133,0.9933,3.52,0.43,11.5,7,"blanco"
"272",6.225,0.25,3.3,0.04,10,69,0.9934,3.54,0.59,10.1,6,"blanco"
"273",6.1,0.24,1.1,0.041,15,65,0.9927,3.61,0.61,10.3,7,"blanco"
"274",7.08,0.44,9.3,0.031,35,137,0.9946,3.16,0.36,10.4,6,"blanco"
"275",8.71,0.51,2,0.046,11,207,0.993,3.02,0.55,11.4,5,"blanco"
"276",7.77,0.31,5.8,0.057,131,313,0.9946,3.18,0.59,10.5,5,"blanco"
"277",8.16,0.41,15.15,0.04,38,216,0.9976,2.96,0.6,10,6,"blanco"
"278",6.74,0.23,6.3,0.039,37,143,0.9944,3.19,0.65,10,6,"blanco"
"279",6.78,0.35,15.4,0.042,55,195,0.9978,3.23,0.5,9.6,6,"blanco"
"280",7.41,0.41,1.3,0.036,33,85,0.992,3.17,0.51,10.4,5,"blanco"
"281",6.72,0.35,4.8,0.03,34,101,0.9912,3.36,0.6,12.5,8,"blanco"
"282",7.04,0.34,4.6,0.032,37,135,0.9927,3.2,0.39,10.6,5,"blanco"
"283",6.53,0.3,1.8,0.033,16,91,0.9906,3.28,0.4,11.8,6,"blanco"
"284",6.78,0.34,9.9,0.038,30,133,0.9954,3.11,0.44,9.8,5,"blanco"
"285",5.86,0.26,5.7,0.031,12,80,0.9923,3.25,0.38,10.8,5,"blanco"
"286",6.53,0.33,1.5,0.036,15,105,0.991,3.32,0.42,11.2,6,"blanco"
"287",6.07,0.27,12.3,0.045,55,170,0.9972,3.28,0.42,9.3,6,"blanco"
"288",6.16,0.4,1.3,0.047,12,139,0.9945,3.45,0.53,10.4,5,"blanco"
"289",6.78,0.35,1.5,0.049,49,141,0.9934,3.43,0.85,10.2,7,"blanco"
"290",7.6,0.43,7.8,0.045,27,153,0.9964,3.19,0.55,9,7,"blanco"
"291",8.24,0.36,1.5,0.047,17,129,0.9948,3.2,0.54,10,6,"blanco"
"292",6.66,0.42,9.7,0.044,30,140,0.9962,3.18,0.47,9.1,6,"blanco"
